#	up	fill
AQZ89449.1	K07150	up
AQZ89494.1	K06925	up
AQZ89499.1	K03637	up
AQZ89500.1	K01926	up
AQZ89510.1	K00558	up
AQZ89511.1	K00558	up
AQZ89519.1	K03292	up
AQZ89519.1	K16248	up
AQZ89527.1	K00004	up
AQZ89527.1	K00098	up
AQZ89541.1	K06901	up
AQZ89546.1	K01588	up
AQZ89547.1	K01589	up
AQZ89548.1	K01756	up
AQZ89549.1	K01923	up
AQZ89550.1	K01952	up
AQZ89551.1	K01952	up
AQZ89552.1	K01952	up
AQZ89553.1	K00764	up
AQZ89554.1	K01933	up
AQZ89555.1	K11175	up
AQZ89556.1	K00602	up
AQZ89557.1	K01945	up
AQZ89565.1	K07094	up
AQZ89566.1	K03657	up
AQZ89567.1	K01972	up
AQZ89569.1	K03307	up
AQZ89569.1	K11928	up
AQZ89570.1	K02435	up
AQZ89575.1	K07029	up
AQZ89617.1	K07406	up
AQZ93018.1	K07145	up
lcl|CP020102.1_cds_753	K17763	up
AQZ93019.1	K19005	up
AQZ89638.1	K15738	up
AQZ89652.1	K02015	up
AQZ89671.1	K01265	up
AQZ89673.1	K19005	up
AQZ89700.1	K03284	up
AQZ89720.1	K06147	up
AQZ89742.1	K02016	up
AQZ89743.1	K02015	up
AQZ89766.1	K07586	up
AQZ89785.1	K02954	up
AQZ89790.1	K03216	up
AQZ89810.1	K18967	up
AQZ89821.1	K07025	up
AQZ89825.1	K02440	up
AQZ89827.1	K00105	up
AQZ89827.1	K00111	up
AQZ89839.1	K19220	up
AQZ89839.1	K19223	up
AQZ89839.1	K19224	up
AQZ89840.1	K19242	up
AQZ89844.1	K03308	up
AQZ89849.1	K03088	up
AQZ93024.1	K11923	up
AQZ89859.1	K16052	up
AQZ89866.1	K18216	up
AQZ89866.1	K18889	up
AQZ89888.1	K01802	up
AQZ89888.1	K07533	up
AQZ89899.1	K01990	up
AQZ89908.1	K01772	up
AQZ89909.1	K00231	up
AQZ89910.1	K09017	up
AQZ89911.1	K01421	up
AQZ89920.1	K03800	up
AQZ89929.1	K15634	up
AQZ89929.1	K15640	up
AQZ89931.1	K01897	up
AQZ89932.1	K03523	up
AQZ89949.1	K07024	up
AQZ89949.1	K18654	up
AQZ89950.1	K18653	up
AQZ89957.1	K16899	up
AQZ90016.1	K01956	up
AQZ90023.1	K05519	up
AQZ90023.1	K07335	up
AQZ90024.1	K02254	up
AQZ90044.1	K16511	up
AQZ90050.1	K06886	up
AQZ90053.1	K07816	up
AQZ90054.1	K00858	up
AQZ90057.1	K03707	up
AQZ90058.1	K10810	up
AQZ90059.1	K00285	up
AQZ90059.1	K03153	up
AQZ93034.1	K03154	up
AQZ90060.1	K03149	up
AQZ90061.1	K03148	up
AQZ90061.1	K21029	up
AQZ90062.1	K00941	up
AQZ90102.1	K22278	up
