#	up	fill
AQZ90625.1	K01448	up
AQZ90627.1	K06413	up
AQZ90643.1	K01198	up
AQZ90648.1	K02100	up
AQZ90648.1	K06609	up
AQZ90648.1	K08139	up
AQZ90649.1	K01775	up
AQZ90658.1	K03116	up
AQZ90658.1	K03117	up
AQZ90658.1	K03646	up
AQZ90663.1	K06288	up
AQZ90663.1	K06291	up
AQZ90663.1	K06310	up
AQZ90665.1	K06293	up
AQZ90665.1	K06312	up
AQZ90684.1	K06335	up
AQZ90685.1	K06433	up
AQZ93065.1	K06432	up
AQZ90689.1	K06431	up
AQZ90690.1	K06434	up
AQZ90700.1	K01179	up
AQZ90711.1	K01640	up
AQZ90713.1	K01961	up
AQZ90714.1	K00666	up
AQZ90715.1	K00248	up
AQZ90742.1	K03790	up
AQZ90752.1	K00483	up
AQZ90758.1	K01569	up
AQZ90821.1	K13993	up
AQZ90827.1	K18115	up
AQZ90828.1	K04564	up
AQZ90835.1	K04565	up
AQZ90846.1	K03299	up
AQZ90868.1	K01843	up
AQZ90869.1	K21935	up
AQZ90870.1	K01438	up
AQZ90870.1	K01439	up
AQZ90871.1	K01035	up
AQZ90872.1	K01034	up
AQZ90876.1	K06322	up
AQZ90877.1	K06321	up
AQZ90878.1	K06319	up
AQZ90879.1	K06320	up
AQZ90881.1	K19421	up
AQZ90893.1	K06418	up
AQZ90893.1	K06419	up
AQZ90893.1	K06420	up
AQZ90924.1	K00558	up
AQZ93074.1	K19421	up
AQZ91113.1	K03816	up
AQZ91115.1	K02526	up
AQZ91116.1	K01625	up
AQZ91126.1	K06327	up
AQZ91129.1	K06335	up
AQZ91129.1	K13993	up
AQZ91157.1	K03888	up
AQZ91180.1	K06398	up
AQZ91186.1	K05739	up
AQZ91193.1	K06313	up
AQZ91203.1	K01783	up
AQZ91216.1	K06374	up
AQZ91217.1	K06373	up
AQZ91218.1	K07258	up
AQZ91223.1	K00794	up
AQZ91236.1	K06408	up
AQZ91237.1	K06407	up
AQZ91238.1	K06407	up
AQZ93085.1	K06403	up
AQZ91242.1	K03091	up
AQZ91243.1	K06379	up
AQZ91245.1	K07258	up
AQZ91251.1	K06384	up
AQZ91269.1	K02346	up
AQZ91269.1	K03502	up
AQZ91306.1	K01841	up
AQZ91306.1	K03417	up
AQZ91307.1	K01720	up
AQZ91308.1	K01647	up
AQZ91309.1	K18244	up
AQZ91310.1	K00074	up
lcl|CP020102.1_cds_2528	K00626	up
AQZ91316.1	K06399	up
AQZ91329.1	K06397	up
AQZ91330.1	K06396	up
AQZ91331.1	K06395	up
AQZ91332.1	K06394	up
AQZ91333.1	K06393	up
AQZ91335.1	K06391	up
AQZ91336.1	K06390	up
AQZ91344.1	K07001	up
AQZ91353.1	K06372	up
AQZ91363.2	K02244	up
AQZ91364.1	K02243	up
